LATITUD,LONGITUD,ALT_GEO
5.9719465,-74.5814458,141.2473449707031
5.9738383,-74.5757211,141.5784606933594
3.7440073,-75.5742467,973.303466796875
5.3667212,-73.52096519999999,2616.21337890625
4.69658,-74.155,2546.7412109375
5.83937,-73.0415,2603.2373046875
5.8259,-73.0254,2518.389404296875
5.874190899999999,-75.5674243,1743.542236328125
6.25591,-75.5518,1627.37548828125
4.56445,-74.1099,2638.160400390625
4.3297,-74.4075,1503.629638671875
4.56323,-74.2182,2714.82177734375
4.58322,-74.2093,2554.474365234375
5.3040323,-73.7087528,2578.943115234375
2.95657,-75.2851,461.5323181152344
6.17821,-75.5583,1814.055541992188
6.30153,-75.5667,1551.4951171875
4.6663,-74.1284,2545.935302734375
4.55084,-74.1419,2590.310302734375
6.26668,-75.5511,1618.679565429688
5.9726914,-74.5956617,148.1411590576172
5.9728505,-74.5919696,151.2526550292969
4.56604,-74.08,2716.84033203125
4.69409,-74.05,2551.557373046875
5.948789,-75.575492,1813.533447265625
5.53134,-73.371,2851.133544921875
4.58709,-74.1827,2675.36962890625
4.56288,-74.1077,2670.09423828125
4.57751,-74.0848,2602.350830078125
5.5737,-73.3436,2755.53173828125
5.8302464,-72.16258880000001,1115.970703125
4.3326,-74.3671,1715.736938476562
4.32869,-74.3751,1679.133544921875
4.632147,-74.46301400000002,1263.028564453125
4.3988399,-74.0477117,2472.271240234375
4.53627,-74.1503,2808.65283203125
3.74973,-74.92773199999999,315.8754272460938
4.64124,-74.1847,2542.67919921875
4.53529,-74.0936,2837.288330078125
5.011883500000001,-72.7394539,443.280517578125
4.7211673,-74.2285743,2549.609619140625
5.066669999999999,-72.81661000000001,710.8711547851562
4.48921,-74.1008,2932.549072265625
4.45301,-75.127,900.3690795898438
4.092516799999999,-75.1545381,459.5845031738281
4.72383,-74.0887,2557.811767578125
4.56572,-74.2379,2553.825927734375
4.73419,-74.1096,2546.47509765625
4.74833,-74.1004,2553.35009765625
4.68766,-74.1081,2551.453125
4.51686,-74.123,2621.427978515625
4.7080313,-74.2187634,2545.838623046875
2.94142,-76.32941,1952.455932617188
6.4714987,-75.1644735,1950.675170898438
2.56204,-72.6348,184.1416931152344
2.1956342,-75.618073,880.6420288085938
4.6342,-74.168,2544.25634765625
4.60996,-74.0879,2572.147705078125
4.94318,-72.68946,331.0424194335938
5.71617,-71.47812990000001,163.8851928710938
